rank,s1,s2,ntasks
0, 21, 20, 252
0, 26, 26, 377
0, 35, 1, 630
0, 49, 29, 1240
0, 58, 31, 1724
0, 62, 18, 1950
0, 73, 35, 2680
0, 89, 44, 3200
0, 95, 1, 3921
0, 96, 52, 4179
0, 103, 79, 4551
0, 110, 47, 5229
0, 114, 37, 5639
0, 116, 91, 5896
0, 121, 16, 6355
0, 123, 56, 6640
0, 127, 15, 6575
0, 132, 36, 7632
0, 134, 99, 7540
0, 136, 35, 8094
0, 139, 25, 8546
0, 141, 27, 8819
0, 142, 120, 9049
0, 143, 110, 9182
0, 146, 53, 9363
0, 149, 15, 9900
0, 150, 120, 10155
0, 152, 99, 8690
0, 154, 110, 9895
0, 157, 87, 11078
0, 158, 84, 11233
0, 163, 47, 11780
0, 167, 82, 11890
0, 170, 82, 12997
0, 174, 154, 11703
0, 177, 40, 12920
0, 178, 167, 14331
0, 181, 88, 14756
295, 13, 5, 97
295, 27, 5, 383
295, 42, 40, 934
295, 48, 22, 1183
295, 64, 39, 2098
295, 69, 46, 2440
295, 73, 25, 2680
295, 79, 38, 3109
295, 85, 15, 3045
295, 88, 8, 3604
295, 91, 80, 3820
295, 95, 78, 4057
295, 100, 78, 4329
295, 105, 80, 4825
295, 108, 88, 5112
295, 115, 93, 5810
295, 118, 99, 5995
295, 120, 82, 6229
295, 124, 38, 6732
295, 127, 83, 5380
295, 128, 78, 6616
295, 131, 9, 7514
295, 134, 85, 7812
295, 136, 53, 8160
295, 137, 55, 8275
295, 141, 131, 8918
295, 145, 79, 8720
295, 147, 98, 9204
295, 149, 57, 9942
295, 152, 107, 10287
295, 156, 120, 10954
295, 158, 61, 11210
295, 161, 54, 11639
295, 162, 56, 11803
295, 164, 102, 11325
295, 166, 144, 11954
295, 171, 86, 13172
295, 173, 32, 13092
295, 175, 75, 12513
295, 177, 6, 12872
295, 177, 127, 14102
295, 179, 175, 14518
295, 181, 143, 14811
101, 7, 2, 31
101, 35, 29, 658
101, 55, 4, 1518
101, 63, 24, 2012
101, 70, 60, 2524
101, 75, 34, 2839
101, 83, 17, 3269
101, 88, 86, 3703
101, 97, 82, 4260
101, 110, 75, 4778
101, 113, 52, 5504
101, 117, 97, 5077
101, 121, 83, 6421
101, 125, 95, 6880
101, 128, 120, 7235
101, 130, 1, 7236
101, 131, 20, 7418
101, 133, 7, 7190
101, 136, 118, 8225
101, 138, 122, 8504
101, 139, 129, 8650
101, 142, 131, 9060
101, 145, 38, 9348
101, 147, 19, 7961
101, 148, 41, 9254
101, 152, 105, 9481
101, 156, 5, 10482
101, 160, 88, 11492
101, 163, 84, 9711
101, 165, 30, 11990
101, 167, 156, 12603
101, 170, 93, 13008
101, 172, 3, 12929
101, 176, 1, 11050
101, 177, 66, 13607
101, 178, 3, 9792
101, 179, 95, 14438
101, 180, 50, 14568
101, 181, 151, 14800
102, 7, 3, 32
102, 16, 7, 144
102, 35, 35, 664
102, 47, 25, 1143
102, 55, 30, 1506
102, 66, 5, 2195
102, 70, 0, 2464
102, 76, 26, 2910
102, 80, 58, 3088
102, 83, 38, 3313
102, 88, 85, 3702
102, 94, 14, 3431
102, 96, 20, 4003
102, 99, 49, 2910
102, 101, 32, 4350
102, 106, 46, 4897
102, 108, 54, 5083
102, 112, 71, 4853
102, 115, 79, 5796
102, 119, 54, 6154
102, 122, 99, 6560
102, 124, 27, 6702
102, 126, 124, 7007
102, 131, 55, 7553
102, 136, 52, 8142
102, 138, 35, 8417
102, 141, 46, 8838
102, 143, 1, 9073
102, 144, 8, 9067
102, 147, 69, 9657
102, 149, 20, 9861
102, 150, 27, 10062
102, 151, 142, 10307
102, 154, 44, 9900
102, 156, 74, 10908
102, 158, 6, 11155
102, 159, 118, 10933
102, 162, 129, 11876
102, 165, 5, 12172
102, 168, 129, 12519
102, 173, 44, 12265
102, 175, 44, 12561
102, 176, 78, 8083
102, 177, 37, 13694
102, 178, 80, 14244
102, 179, 128, 14471
102, 181, 15, 11323
20, 22, 16, 269
20, 30, 3, 466
20, 43, 11, 918
20, 50, 40, 1303
20, 59, 30, 1780
20, 65, 34, 2158
20, 73, 42, 2489
20, 77, 39, 3000
20, 85, 85, 3460
20, 88, 24, 3516
20, 96, 80, 4209
20, 103, 16, 4496
20, 107, 33, 4893
20, 113, 92, 5580
20, 120, 18, 5725
20, 123, 22, 6601
20, 128, 42, 7134
20, 130, 75, 7428
20, 132, 69, 7693
20, 137, 81, 8325
20, 139, 87, 8608
20, 141, 54, 8846
20, 142, 141, 9070
20, 145, 45, 9013
20, 147, 145, 9733
20, 149, 148, 10033
20, 151, 112, 10277
20, 154, 129, 10296
20, 159, 38, 11332
20, 161, 64, 11649
20, 163, 38, 11910
20, 165, 93, 12281
20, 167, 45, 11407
20, 169, 99, 12793
20, 170, 74, 12798
20, 171, 158, 13244
20, 173, 102, 12693
20, 176, 52, 11725
20, 177, 71, 12601
20, 179, 54, 14397
20, 180, 0, 14346
31, 24, 7, 307
31, 32, 11, 539
31, 45, 32, 1057
31, 53, 10, 1422
31, 58, 47, 1740
31, 61, 59, 1932
31, 66, 58, 2248
31, 70, 3, 2467
31, 83, 37, 3104
31, 89, 2, 3596
31, 94, 32, 3909
31, 97, 76, 4002
31, 102, 92, 4596
31, 112, 91, 5466
31, 116, 47, 5845
31, 122, 75, 6536
31, 124, 80, 6654
31, 127, 54, 7051
31, 130, 81, 7454
31, 131, 121, 7626
31, 135, 33, 5776
31, 136, 122, 8229
31, 137, 134, 8378
31, 141, 12, 7847
31, 142, 6, 8929
31, 143, 11, 9081
31, 146, 122, 9563
31, 149, 104, 9989
31, 150, 104, 10139
31, 152, 86, 9803
31, 156, 33, 10126
31, 160, 46, 11446
31, 161, 149, 11734
31, 162, 141, 11888
31, 165, 21, 12200
31, 166, 124, 11487
31, 172, 33, 13107
31, 176, 15, 11354
31, 177, 169, 14157
31, 178, 144, 14308
32, 12, 5, 84
32, 32, 0, 528
32, 35, 7, 636
32, 42, 2, 897
32, 56, 18, 1592
32, 62, 12, 1944
32, 71, 0, 2517
32, 76, 68, 2952
32, 78, 25, 3058
32, 85, 58, 3302
32, 87, 72, 3526
32, 91, 77, 3661
32, 99, 1, 2594
32, 100, 7, 4281
32, 104, 1, 3843
32, 105, 23, 3328
32, 106, 86, 4937
32, 109, 59, 4816
32, 114, 108, 5710
32, 118, 91, 5897
32, 121, 45, 6384
32, 125, 87, 6831
32, 128, 102, 7171
32, 131, 0, 7262
32, 134, 17, 7868
32, 136, 113, 8220
32, 138, 91, 8470
32, 140, 77, 8728
32, 146, 42, 7839
32, 147, 110, 9694
32, 149, 93, 9978
32, 150, 87, 10122
32, 152, 46, 10176
32, 155, 19, 8656
32, 156, 3, 10073
32, 160, 28, 11471
32, 162, 97, 11757
32, 165, 126, 12310
32, 168, 94, 12679
32, 172, 150, 13408
32, 175, 152, 12414
32, 177, 123, 14111
32, 179, 11, 13825
32, 181, 113, 14781
294, 5, 2, 18
294, 29, 28, 463
294, 35, 22, 651
294, 62, 42, 1976
294, 69, 33, 2427
294, 76, 9, 2893
294, 81, 57, 3252
294, 89, 67, 3422
294, 100, 27, 4385
294, 101, 100, 4546
294, 107, 16, 4964
294, 110, 64, 3263
294, 111, 88, 5353
294, 118, 107, 6100
294, 121, 118, 6457
294, 125, 93, 6633
294, 128, 126, 7241
294, 131, 24, 7524
294, 136, 26, 8069
294, 138, 32, 8414
294, 139, 33, 8554
294, 143, 96, 9168
294, 146, 14, 8756
294, 148, 80, 9809
294, 150, 49, 10080
294, 153, 64, 9907
294, 155, 84, 10404
294, 158, 8, 11157
294, 159, 135, 11420
294, 168, 138, 12723
294, 171, 125, 13146
294, 174, 127, 8979
294, 175, 124, 13775
294, 178, 135, 14299
238, 33, 6, 566
238, 37, 22, 724
238, 45, 1, 1025
238, 56, 31, 1606
238, 59, 48, 1800
238, 69, 38, 2432
238, 72, 67, 2656
238, 76, 46, 2930
238, 79, 27, 3082
238, 85, 1, 2948
238, 86, 81, 3523
238, 90, 89, 3786
238, 106, 77, 4901
238, 109, 105, 5197
238, 115, 70, 5785
238, 121, 105, 6444
238, 126, 23, 4841
238, 127, 1, 6243
238, 129, 87, 7331
238, 131, 108, 7613
238, 136, 134, 8241
238, 139, 2, 8523
238, 140, 131, 8784
238, 146, 102, 8879
238, 149, 75, 9960
238, 151, 31, 9089
238, 153, 59, 10399
238, 155, 138, 10816
238, 156, 154, 10988
238, 161, 82, 10702
238, 164, 101, 10949
238, 168, 50, 11225
238, 170, 42, 11792
238, 172, 62, 13302
238, 176, 145, 13959
238, 181, 82, 14750
380, 9, 7, 53
380, 24, 2, 302
380, 33, 29, 589
380, 50, 29, 1292
380, 56, 42, 1619
380, 63, 29, 2006
380, 74, 34, 2762
380, 77, 15, 2976
380, 85, 43, 3001
380, 91, 9, 3619
380, 97, 9, 3992
380, 107, 15, 4866
380, 111, 68, 5330
380, 115, 44, 5761
380, 118, 32, 5997
380, 120, 31, 6056
380, 121, 21, 6332
380, 123, 20, 6597
380, 125, 15, 6188
380, 129, 38, 7282
380, 131, 28, 7533
380, 134, 112, 7956
380, 136, 49, 7825
380, 138, 21, 8402
380, 139, 5, 8526
380, 143, 97, 9166
380, 146, 137, 9578
380, 151, 116, 10178
380, 160, 51, 11433
380, 162, 0, 11747
380, 164, 27, 12012
380, 165, 41, 12073
380, 168, 155, 12740
380, 171, 106, 13192
380, 172, 79, 13337
380, 175, 21, 13262
380, 176, 68, 13855
380, 178, 95, 14259
380, 179, 143, 14486
380, 180, 144, 14667
239, 28, 4, 410
239, 42, 31, 925
239, 46, 18, 1089
239, 53, 36, 1453
239, 56, 37, 1615
239, 63, 16, 2014
239, 69, 8, 2402
239, 71, 69, 2590
239, 78, 63, 3101
239, 93, 80, 3940
239, 99, 27, 4192
239, 100, 93, 4487
239, 103, 96, 4661
239, 111, 44, 5115
239, 115, 69, 5786
239, 119, 37, 6116
239, 124, 102, 6746
239, 129, 53, 7297
239, 131, 103, 7608
239, 136, 94, 8192
239, 139, 78, 8599
239, 145, 58, 9261
239, 147, 28, 9616
239, 148, 107, 9843
239, 152, 16, 10262
239, 154, 123, 10647
239, 159, 89, 9531
239, 167, 135, 12535
239, 171, 142, 13228
239, 172, 131, 13389
239, 175, 122, 13790
239, 177, 8, 13746
