rank,ntasks
0.0,128222.0
537.0,115769.0
536.0,127946.0
438.0,86762.0
339.0,111426.0
378.0,132397.0
246.0,131875.0
379.0,118954.0
338.0,122102.0
406.0,191381.0
377.0,154614.0
26.0,182333.0
247.0,131598.0
644.0,128860.0
27.0,152497.0
437.0,170092.0
19.0,131436.0
738.0,135213.0
347.0,141081.0
732.0,150260.0
407.0,127784.0
18.0,147038.0
518.0,192395.0
436.0,160078.0
557.0,114786.0
348.0,132596.0
551.0,111891.0
509.0,117960.0
376.0,148204.0
556.0,178017.0
266.0,141939.0
510.0,125641.0
550.0,123274.0
234.0,167915.0
519.0,156928.0
267.0,177271.0
595.0,131601.0
596.0,146298.0
618.0,141674.0
789.0,158332.0
679.0,109744.0
733.0,182091.0
562.0,113167.0
735.0,176567.0
734.0,136903.0
739.0,141394.0
82.0,112292.0
91.0,150775.0
623.0,138763.0
631.0,130277.0
794.0,121824.0
574.0,90810.0
517.0,154581.0
624.0,124610.0
575.0,128003.0
563.0,132869.0
630.0,140234.0
209.0,173072.0
730.0,126824.0
318.0,135632.0
731.0,120422.0
156.0,138851.0
548.0,151655.0
75.0,128157.0
691.0,144646.0
74.0,121429.0
317.0,143327.0
47.0,138186.0
48.0,114717.0
435.0,135602.0
778.0,129563.0
210.0,111227.0
779.0,98778.0
380.0,141096.0
434.0,147013.0
389.0,125414.0
118.0,153123.0
479.0,103687.0
788.0,134503.0
188.0,119559.0
80.0,149079.0
83.0,141506.0
547.0,125516.0
480.0,127836.0
17.0,156749.0
490.0,135493.0
497.0,113951.0
481.0,139507.0
279.0,146500.0
251.0,139820.0
622.0,98550.0
250.0,126695.0
16.0,125112.0
90.0,142435.0
233.0,160113.0
204.0,133774.0
33.0,129780.0
147.0,125788.0
39.0,157748.0
583.0,122228.0
758.0,121408.0
390.0,111252.0
755.0,129423.0
295.0,109595.0
775.0,122788.0
263.0,146779.0
359.0,160221.0
393.0,139286.0
394.0,123880.0
673.0,130162.0
278.0,105859.0
331.0,129496.0
665.0,114265.0
76.0,146456.0
467.0,136311.0
674.0,130770.0
584.0,137561.0
757.0,144470.0
468.0,124225.0
314.0,138673.0
277.0,95308.0
792.0,132543.0
491.0,116092.0
409.0,139678.0
496.0,101511.0
343.0,134019.0
32.0,117835.0
478.0,134034.0
117.0,145815.0
313.0,152098.0
272.0,161935.0
290.0,124512.0
483.0,127327.0
621.0,117479.0
81.0,112589.0
344.0,111149.0
685.0,140061.0
544.0,117755.0
214.0,116520.0
276.0,113199.0
229.0,135969.0
398.0,113643.0
98.0,129209.0
791.0,168023.0
643.0,111502.0
790.0,100820.0
637.0,141452.0
305.0,110625.0
62.0,145577.0
752.0,118897.0
148.0,132026.0
306.0,151602.0
535.0,120325.0
289.0,124991.0
774.0,121908.0
705.0,154352.0
500.0,126889.0
330.0,151687.0
141.0,135598.0
736.0,143381.0
672.0,115978.0
187.0,122411.0
666.0,121461.0
61.0,127481.0
461.0,143345.0
230.0,143060.0
36.0,121927.0
35.0,169410.0
580.0,156562.0
445.0,144453.0
286.0,139586.0
367.0,114105.0
756.0,94868.0
447.0,120781.0
222.0,168551.0
291.0,130058.0
737.0,134349.0
477.0,119354.0
395.0,125549.0
265.0,139445.0
462.0,131064.0
382.0,115730.0
799.0,127658.0
554.0,173863.0
793.0,119733.0
213.0,136304.0
10.0,116237.0
785.0,166740.0
513.0,95618.0
366.0,107960.0
466.0,142142.0
545.0,148213.0
507.0,118568.0
155.0,150570.0
638.0,165257.0
543.0,147036.0
189.0,134039.0
465.0,133158.0
635.0,111063.0
375.0,147051.0
273.0,88219.0
444.0,107526.0
534.0,119640.0
598.0,117821.0
78.0,161120.0
197.0,120688.0
725.0,116378.0
571.0,129866.0
397.0,109855.0
99.0,153342.0
601.0,128828.0
555.0,146382.0
96.0,118086.0
636.0,120081.0
546.0,112221.0
459.0,135281.0
301.0,108972.0
639.0,145079.0
690.0,111485.0
642.0,156390.0
440.0,127184.0
428.0,102652.0
294.0,98558.0
399.0,130692.0
89.0,92293.0
135.0,133983.0
56.0,100878.0
408.0,112005.0
139.0,121983.0
54.0,139268.0
769.0,152079.0
264.0,110964.0
77.0,183527.0
660.0,137639.0
763.0,112417.0
396.0,127764.0
455.0,175787.0
417.0,140275.0
558.0,139233.0
570.0,142423.0
458.0,127592.0
600.0,123847.0
692.0,139571.0
454.0,126150.0
142.0,143333.0
225.0,123320.0
420.0,153372.0
22.0,149384.0
476.0,139393.0
441.0,154027.0
751.0,160667.0
299.0,134155.0
30.0,134200.0
221.0,97348.0
270.0,154028.0
287.0,148316.0
122.0,167884.0
715.0,136709.0
446.0,129961.0
616.0,118186.0
57.0,143837.0
591.0,130888.0
308.0,108661.0
431.0,141434.0
23.0,139741.0
288.0,107892.0
149.0,154830.0
66.0,112605.0
293.0,125338.0
124.0,76933.0
381.0,128015.0
182.0,133126.0
217.0,105684.0
724.0,150703.0
11.0,141170.0
302.0,166198.0
65.0,160320.0
577.0,157383.0
684.0,129000.0
492.0,118660.0
386.0,126593.0
79.0,146299.0
768.0,122934.0
298.0,147272.0
729.0,129431.0
157.0,170708.0
316.0,131130.0
617.0,151298.0
67.0,119957.0
282.0,127711.0
762.0,137748.0
671.0,93834.0
152.0,127295.0
508.0,155913.0
70.0,132260.0
150.0,157770.0
68.0,123446.0
796.0,165433.0
144.0,136520.0
280.0,117845.0
613.0,164694.0
423.0,122884.0
787.0,138645.0
559.0,133873.0
625.0,141037.0
132.0,138523.0
783.0,158599.0
307.0,149221.0
597.0,126747.0
374.0,113991.0
281.0,149161.0
628.0,154758.0
88.0,136400.0
795.0,160147.0
296.0,123965.0
614.0,125427.0
718.0,130252.0
429.0,120347.0
297.0,125590.0
784.0,127035.0
319.0,136381.0
226.0,121485.0
604.0,130655.0
283.0,122812.0
203.0,135849.0
482.0,131353.0
798.0,131480.0
629.0,128301.0
180.0,122676.0
292.0,138231.0
158.0,150697.0
385.0,159178.0
632.0,141141.0
315.0,148485.0
123.0,130364.0
69.0,140304.0
173.0,89783.0
612.0,118249.0
309.0,131527.0
143.0,160377.0
196.0,91308.0
615.0,150543.0
707.0,162879.0
310.0,110698.0
771.0,113737.0
237.0,123477.0
627.0,139145.0
311.0,153612.0
353.0,161035.0
159.0,108104.0
634.0,134866.0
64.0,136220.0
195.0,121451.0
303.0,125480.0
761.0,120573.0
255.0,151449.0
620.0,115059.0
218.0,142625.0
285.0,132877.0
782.0,137208.0
541.0,133019.0
605.0,112008.0
356.0,139023.0
300.0,109785.0
781.0,132281.0
220.0,157261.0
592.0,178026.0
603.0,130408.0
254.0,128017.0
304.0,100236.0
238.0,127864.0
138.0,141678.0
633.0,132479.0
312.0,119749.0
780.0,148796.0
219.0,138320.0
606.0,133515.0
439.0,129080.0
760.0,125608.0
71.0,129645.0
100.0,133149.0
611.0,130371.0
588.0,145913.0
777.0,146258.0
602.0,133666.0
216.0,153247.0
72.0,149267.0
97.0,132711.0
797.0,132873.0
610.0,130213.0
471.0,120973.0
576.0,134937.0
626.0,133805.0
14.0,130919.0
764.0,111994.0
63.0,110540.0
619.0,165017.0
231.0,123916.0
2.0,94411.0
127.0,126022.0
704.0,149895.0
607.0,162470.0
786.0,125831.0
485.0,149788.0
609.0,120332.0
726.0,131856.0
765.0,112914.0
716.0,135183.0
55.0,166730.0
15.0,135293.0
770.0,143851.0
371.0,142599.0
776.0,155547.0
202.0,157447.0
5.0,134912.0
773.0,127365.0
40.0,133376.0
183.0,132440.0
134.0,147648.0
373.0,128065.0
514.0,119117.0
4.0,139512.0
126.0,145371.0
362.0,136361.0
151.0,85754.0
232.0,132144.0
451.0,152540.0
363.0,111046.0
184.0,145132.0
421.0,142328.0
154.0,166421.0
354.0,100857.0
236.0,125726.0
503.0,124915.0
136.0,114884.0
370.0,128169.0
145.0,129647.0
223.0,120453.0
499.0,110220.0
133.0,109601.0
504.0,142534.0
239.0,166170.0
130.0,106513.0
372.0,145094.0
767.0,108438.0
215.0,147263.0
426.0,145993.0
766.0,161438.0
369.0,134607.0
168.0,113775.0
743.0,155394.0
456.0,126107.0
383.0,121376.0
506.0,141691.0
589.0,119382.0
443.0,116063.0
392.0,161210.0
457.0,137326.0
384.0,115458.0
515.0,111176.0
235.0,120847.0
31.0,171451.0
140.0,134260.0
427.0,107204.0
475.0,130089.0
387.0,140615.0
460.0,144503.0
516.0,126216.0
463.0,144594.0
42.0,145979.0
20.0,164748.0
368.0,144210.0
703.0,148469.0
121.0,120111.0
442.0,147656.0
590.0,104780.0
675.0,103950.0
49.0,163959.0
489.0,109171.0
128.0,109139.0
422.0,139115.0
472.0,130718.0
361.0,114784.0
713.0,135529.0
450.0,145779.0
542.0,126344.0
502.0,139733.0
464.0,144925.0
340.0,129250.0
146.0,112129.0
719.0,101143.0
60.0,165905.0
430.0,120101.0
284.0,155383.0
224.0,119277.0
453.0,117420.0
501.0,106443.0
131.0,162788.0
599.0,173312.0
73.0,79480.0
664.0,136951.0
129.0,171729.0
388.0,132526.0
365.0,106591.0
153.0,128793.0
484.0,155678.0
